257,Nyctanassa,9
258,Nyctibius,42
259,Nycticorax,9
260,Nycticryphes,60
261,Nystalus,10
262,Odontophorus,43
263,Oreopholus ,15
264,Ortalis ,23
265,Orthogonys ,68
266,Oxyruncus ,71
267,Oxyura,4
268,Pachyramphus,71
269,Pachyramphus ,71
270,Pandion ,44
271,Parabuteo ,1
272,Pardirallus,54
273,Pardirallus ,54
274,Paroaria ,68
275,Parula,45
276,Passer ,46
277,Patagioenas,19
278,Penelope,23
279,Penelope ,23
280,Petrochelidon ,34
281,Phacellodomus ,31
282,Phaethornis,72
283,Phaetusa,65
284,Phalacrocorax,47
285,Phalaropus ,63
286,Phibalura ,22
287,Philomachus ,63
288,Philydor,31
289,Philydor ,31
290,Phimosus,69
291,Phleocryptes ,31
292,Phoenicoparrus,48
293,Phoenicopterus ,48
294,Phrygilus ,26
295,Phyllomyias,76
296,Phyllomyias ,76
297,Phylloscartes,59
298,Phytotoma,22
299,Piaya,24
300,Piculus,49
301,Picumnus,49
302,Picumnus ,49
303,Pionopsitta ,53
304,Pionus,53
305,Pipraeidea ,68
306,Piprites,36
307,Piprites ,36
308,Piranga,12
309,Pitangus ,76
310,Platalea,69
311,Platyrinchus ,36
312,Plegadis,69
313,Pluvialis,15
314,Pluvialis ,15
315,Podicephorus,51
316,Podilymbus,51
317,Poecilotriccus,59
318,Polioptila,52
319,Polioptila ,52
320,Polystictus,76
321,Polytmus,72
322,Poospiza ,26
323,Porphyrio,54
324,Porzana,54
325,Primolius ,53
326,Procacicus ,35
327,Procnias ,22
328,Progne,34
329,Pseudastur,1
330,Pseudocolopteryx,76
331,Pseudocolopteryx ,76
332,Pseudoleistes,35
333,Pseudoleistes ,35
334,Pseudoseisura,31
335,Psilorhamphus ,58
336,Pteroglossus,55
337,Pulsatrix,66
338,Pygochelidon ,34
339,Pyriglena ,67
340,Pyrocephalus,76
341,Pyroderus ,22
342,Pyrrhocoma,68
343,Pyrrhura,53
344,Ramphastos,55
345,Ramphastos ,55
346,Rhea,57
347,Rhynchotus,70
348,Riparia,34
349,Rollandia,51
350,Rostrhamus ,1
351,Rupornis,1
352,Rynchops,61
353,Saltator ,68
354,Sarcoramphus,14
355,Sarkidiornis ,4
356,Satrapa,76
357,Schiffornis,71
358,Schoeniophylax,31
359,Sclerurus ,62
360,Scytalopus,58
361,Selenidera,55
362,Serpophaga,76
