388;SGA_CMM_PC01;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.34975186777946 -30.1067630893093,-54.34970077404327 -30.10725059352546,-54.34994520750726 -30.10764939891703,-54.34999262801291 -30.10811983473573,-54.35017402504332 -30.10855615251861,-54.35023326127665 -30.10899249747436)"
389;SGA_CMM_PC02;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.34371640891667 -30.10173235084967,-54.34323996835698 -30.10194002295763,-54.34276352900415 -30.10214769181129,-54.34235565892902 -30.10240872854891,-54.34197521837152 -30.10270831258183,-54.34176619854645 -30.10313835767333)"
390;SGA_CMM_PC03;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.31684006290838 -30.08540477664023,-54.31740341009567 -30.085381966787,-54.31755255330412 -30.08494095790364,-54.31805125832776 -30.08476174740584,-54.31851161008327 -30.0849763767744,-54.31901822379678 -30.08496611572415)"
391;SGA_CMM_PC04;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.31601136371537 -30.09226019163713,-54.31595109262753 -30.09271776958194,-54.31600797496755 -30.0931492852773,-54.31644310035951 -30.09347076290059,-54.31697530843861 -30.09353738876161,-54.31746066347053 -30.09341287142028)"
392;SGA_CMM_PC05;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.30824330196111 -30.08996925733186,-54.30834500268622 -30.08953671219063,-54.30816709150436 -30.08910049143563,-54.30846367061088 -30.08869361703417,-54.30877719153494 -30.08833806145228,-54.30876027026407 -30.08786519156091)"
393;SGA_CMM_PC06;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.33579724015782 -30.1190460173708,-54.33575623489641 -30.11918800769996,-54.33549320950819 -30.11960147273406,-54.33499839496672 -30.11977485575986,-54.33469190863814 -30.12015909419306,-54.3338253244516 -30.12025945418551)"
394;SGA_CMM_PC07;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.31310395407128 -30.10336710432561,-54.31345046471571 -30.10372524440279,-54.31367125131863 -30.10414439919833,-54.3138797744349 -30.10454233132265,-54.31418315525297 -30.10460599955098,-54.31460326551435 -30.10431152802751,-54.31476578866394 -30.10414174285215)"
395;SGA_CMM_PC08;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.30794978819188 -30.11475212689372,-54.30807939522151 -30.11492732131795,-54.30809557304832 -30.11538982086091,-54.30819006230622 -30.11585465826514,-54.30832532525734 -30.11631458373937,-54.30854768080663 -30.11642723511418,-54.30880321621896 -30.11633479140258,-54.30903343016345 -30.1162396869331)"
396;SGA_CMM_PC09;...;"2015-08-13 15:41:18";2;1;387;"LINESTRING(-54.30184321975276 -30.10838571518951,-54.30189025220692 -30.10790967920163,-54.30160805937238 -30.10752111961504,-54.30136114119993 -30.10740922999043,-54.30109540924888 -30.10748449951701,-54.30072385175491 -30.10781406012946,-54.30029585216136 -30.10811717246832)"
398;QUA_CSR_PC01;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.95887672133307 -30.27547919965932,-55.95937522386026 -30.27560741069645,-55.95985636281911 -30.27552481691735,-55.96038405557332 -30.27551124009514,-55.96090726939379 -30.27558169345586,-55.96142445128812 -30.27557154540634)"
399;QUA_CSR_PC02;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.92678603061046 -30.27332344262453,-55.92632052320019 -30.27310734299036,-55.92595635350619 -30.272803943257,-55.92567345003944 -30.27244355467054,-55.92529566127694 -30.27209431383295,-55.92485484619751 -30.27189255465847)"
400;QUA_CSR_PC03;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.95864545631791 -30.28327752930212,-55.95912799813678 -30.28331726705276,-55.95965096731067 -30.28334689945914,-55.96016187412742 -30.2832478277601,-55.96058815518251 -30.28300173186142,-55.96108753506074 -30.28284532423631)"
401;QUA_CSR_PC04;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.96719168450496 -30.29175823877338,-55.9668726425428 -30.29143885567092,-55.96637918035711 -30.29126882571986,-55.96608113609294 -30.29087715229235,-55.96596813791854 -30.29045375846211,-55.966153997442 -30.29002406887003)"
402;QUA_CSR_PC05;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.94495348471895 -30.2930717776144,-55.94529756243047 -30.29344071458174,-55.9457283287594 -30.2936894313406,-55.94615537080193 -30.29393236864905,-55.94659060193802 -30.29418659865006,-55.94706431763819 -30.294383179439)"
403;QUA_CSR_PC06;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.93496262153716 -30.28799343859092,-55.93549463977529 -30.28797579457223,-55.93579832334714 -30.288341319116,-55.9357956409801 -30.28880295116371,-55.93612249223582 -30.2891418012593,-55.93659551433918 -30.28929350114409)"
404;QUA_CSR_PC07;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.96641109502221 -30.31219807371272,-55.96672728365634 -30.31184150044656,-55.96679930322549 -30.31138838142195,-55.96678730689664 -30.31094067888382,-55.96690117686641 -30.31051728962136,-55.96666326762183 -30.31010841222738)"
405;QUA_CSR_PC08;...;"2015-08-13 15:41:18";2;1;397;"LINESTRING(-55.94483307105953 -30.30717537781032,-55.94535534121778 -30.30711022110111,-55.94587832799116 -30.30712226448167,-55.94638069339829 -30.30719186221771,-55.94670741828816 -30.30679775512552,-55.9471579088322 -30.30656513506375)"
